User_Name,isVerified,DateOfReview,Rating,Review,hasProfanity
Cet,True,2019-08-17,4.0,"Very entertaining. Seth Rogan as Pumba was excellent. Please tell me how on Earth you recite “Be Prepared”?! We got jilted out of that. Also, star off because remakes involving animals don’t go over as well as humans. Aladdin allowed you to better immerse yourself, since there were humans you could connect with. I don’t think anything was gained by remaking Lion King.",False
Charles Ward,True,2019-08-17,4.5,Greatest adaptation!!!,False
Claudia C,False,2019-08-17,3.5,"I don't know what to feel about this movie.
I was waiting to see it since it was announced that it was going out, I saw the trailer and the emotion was great but at the moment of seeing it the feeling was different. I felt that it was not what I expected.
I will not deny that the effects and the music were incredible, but I do not know why but the plot did not convince me. I felt that I had seen another movie and not THE LION KING.
It would have been nice if this movie would have looked a little closer to the original. I think that I would have enjoyed it more.
I can say that I liked it but I did not enjoy it at all.",False
Google,False,2019-08-17,4.5,"I really liked this remake of the Disney Classic.  I didn't like how the movie changed certain iconic aspects of the original. Overall though, the movie was basically the exact same as the original and also includes a few extra scenes that help to tell the story.  I would definitely go see this before it leaves theaters!",False
Shamontae,True,2019-08-17,5.0,Great performances and altogether recreation,False
Angel,True,2019-08-17,5.0,Great movie for the kids.,False
Ellena,True,2019-08-17,4.5,Fulfilled my nostalgia,False
Heidi L,True,2019-08-17,2.0,Hated that it was different that original,False
Lenora,True,2019-08-17,5.0,Loved the special affects,False
Ted,True,2019-08-17,3.0,Not much humor. Not even close to as good as the original. I had high hopes after watching the Jungle Book remake by this director. Just seemed uninspired. It had pretty good CGI however.,False
Alyssa,False,2019-08-17,5.0,It was amazing. Best Disney remake!,False
cindy,True,2019-08-17,5.0,great movie just like the original,False
Madeleine,True,2019-08-17,5.0,"of all the new Disney remakes, this was by far my favorite one!",False
nora,True,2019-08-17,3.0,It was fine. Basically a shot for shot remake of the original without the fun and emotion. This won’t be replacing the animated version in our viewing list.,False
KrisP,True,2019-08-17,5.0,Go and see it. It's worth it,False
,False,2019-08-17,0.5,This movie is the most uninspired cash grab I have ever seen in my life. It’s sad to see such a gross waste of talent with the amazing visuals to the amazing voice actors I wish they did something original instead of the same useless boring formulaic garbage ,False
Danielle W,False,2019-08-17,5.0,Thought they did a great job. The family loved it! Will definitely go see it again.,False
Shauna,True,2019-08-17,3.5,The movie was good. There’s some songs missing. It didn’t give me the same energy as the original but again it was a good movie.,False
Brian,True,2019-08-17,5.0,"The new Lion King remake is phenomenal!! I personally LOVED the new Lion King. I actually like it just as much as the original if not more. I think Jon Favreau is a creative genius in his visionary take on projects. Unfortunately Disney got the Lion King right the first time, which didn’t necessitate a remake. Which is why 90% of the original had been untouched for the 2019 version. HOWEVER... I think Favreau’s brilliance will really come through if they get him to make a Lion King 2. The original is impossible to beat. But the sequels and spinoffs are much less memorable for MOST fans, yet still provide an excellent foundation for someone like Favreau to take it and really make it something special. Just like he did with Jungle Book. Jungle Book had plenty of room for creative reimagining because it’s not as widely memorable, which is where he could take liberties that he simply didn’t have with Lion King. I honestly think that the remake we got is by far the best possible job any director could’ve done with the scope of the task at hand. Excellent work and it deserves every dollar and accolade that it’s earning as we speak!! TWO THUMBS WAY UP!!!!",False
Kenneth M,True,2019-08-17,5.0,"Fantastic film!! Better then the original. loved it!!!

MUST SEE!!!!!🔥🔥🔥",False
trish bolton,True,2019-08-17,5.0,loved it. a little long,False
Carnell,True,2019-08-17,4.0,like watching national geographic,False
Facebook U,True,2019-08-17,3.5,liked the movie but the original is still better,False
Linda N,True,2019-08-17,5.0,done as only Disney can.,False
Connie,True,2019-08-17,4.0,"The film setting in South Africa and the live animals makes this an even more dramatic, moving story than the original animation although a bit more scary for younger children. Portraying the eat or be eaten rules of the wild were hinted at rather than depicted- no blood in the final fight scene. The comedic warthog relieved the great loss and loneliness of Simba.",False
clynn4mk,True,2019-08-17,5.0,it was true to the original & outstanding. You felt like you were there & very realistic.,False
JMoerana,True,2019-08-17,5.0,Loved the movie from beginning to end. My daughter and I saw it twice.,False
Amber,True,2019-08-17,3.0,Identical to animate script without any of the magic or emotion.,False
AJ,True,2019-08-17,5.0,It was awesome. I loved it.,False
Avant S,False,2019-08-17,2.5,Modern technology and all the motion graphics are all cool and stuff but did we really need to watch the same story frame to frame? probably not. Original lion king will always have something the newer version lacks. which is emotion. ,False
Patricia  B,False,2019-08-17,5.0,Visually fascinating.  Of course a good story and music.,False
Grandpa,False,2019-08-17,1.5,"I just went to the Cinemark Howard Hughes theatre near here to watch The Lion King. Children in the audience were verbally happy to be there.

From minute one, Lion King demonstrated the awesome master combination of Disney filmmaking technics far beyond Walt Disney graphics beginnings.

A scene or two later into the story, a mean aggressive hyena suddenly pops up from the shadows threatening our innocent heroes in the story. 
Unfortunately, the scene was shockingly racial. 
The audiovisual was too overt to escape my sensibilities. 
The hyena was black. Hyenas are generally tan or grey. Not black. You could blame it on the lighting but the hyena was black.

In fact, it appears that the mean hyena was crafted to emulate a black person. Furthermore, its voice over sounded like a black man. 

Of course the little children in the audience had no clue they were being brainwashed.

Lion King storyline attempted the proverbial Joseph Campbell mono-myth dramatic curve.  They even had the cleansing rain at the end but it was no help to improve the  distasteful bathroom humor.
Lion King failed to sustain the tit-for-tat excitement of Disney yesteryears movies. 

A shameless, shamefull racial movie.",True
mm,True,2019-08-17,4.0,I didn't like how they changed important scenes from the original movie,False
Andrea H,True,2019-08-17,4.0,"Beautiful cinematography, Donald Glover and Beyonce are great!",False
Diana Renee,True,2019-08-17,5.0,I didn’t go to see it..... I will!,False
Jane L,True,2019-08-17,5.0,Very realistic.   Beautifully done.,False
jacob,True,2019-08-17,3.0,"entertaining, but doesn't live up to its ancestor.",False
Venita,True,2019-08-17,5.0,The Lion King was so far fantastic movie.!,False
Mani P,False,2019-08-17,0.5,"The Lion King is a 2019 remake of the 1994 Disney classic The Lion King. The film was directed by Jon Favreau, and stars Donald Glover as Simba and Chiwetel Ejiofor as Scar.

The film in my opinion is a disgrace to the original film, from the emotionless character expressions to the dreadful and unfitting voice acting.

The story was basically the same as the original (nearly down to the beat), but for some reason it felt a lot less epic and not nearly as intriguing or emotional.

The voice acting I found to be stale and dry, from the lack of care in the actors voices to the bland and weary line delivery; one voice actor in particular was Shahadi Wright Joseph as (child) Simba, I found that the performance he gave was really lacking in key areas like emotion and timing.

The characters were basically just the same as the original, so I don't really have much to say here.

The animation may be extremely realistic and detailed, but what angers me most is that because of the realism the animals and characters couldn't express as much emotion as they did in the original film.

The colour scheme was also very dark and grey, which in my opinion takes away from the atmosphere and scale of the film.

The soundtrack was also a huge let down from the original film, from Beyoncé and Donald Glover's version of Can You Feel the Love Tonight (which takes place in the day) to the addition of Beyoncé's song Spirit.

The emotion and relationships in the film were also a lot less gripping, especially the relationship between Simba and Mufasa.

The film I also found to be really bland and uninteresting, but what makes it worse is that the original film was really interesting and had a very strong style to it.

Over all I give it a 
1/10 - would never recommend

A shallow and heartless product which should have never been made.",False
nmh,True,2019-08-17,3.0,The way the movie built was great but I think the CGI didn’t really capture the emotions of each character compare to original one and all I can see was their mouth open.There are few parts that I like but overall the cartoon is better.,False
Hector M,True,2019-08-17,4.5,"Great music. Interesting use of animals. Introduction was poorly filmed, but the remainder of the film had good cinematography, Too long.",False
Tasheka,True,2019-08-17,4.0,I really liked this movie,False
CRYSTAL T,True,2019-08-17,1.0,Why did I waste my money....,False
Justin,True,2019-08-17,3.5,Movie dragged for the first 40 minutes but ended strong.,False
Jose,True,2019-08-17,3.5,They did change some things but visually it was beautiful,False
Karen,True,2019-08-17,4.0,"I liked that the movie was pretty close to the original which was funny, and the good guys won.",False
Alan H,True,2019-08-17,4.5,"The story was true to the original, but not an exact copy. The CGI was AMAZING. Nice compliment to the original animated version.",False
Daniel  T,True,2019-08-17,4.0,"Excellent, just excellent.",False
Egor D,False,2019-08-17,2.0,"It lacked the expression and emotion of the original's animation, it's just not the same without the classic Disney style.",False
SRT1989,True,2019-08-17,5.0,Felt like a kid again!,False
Gary,True,2019-08-17,3.5,"The movie was well done, however I did not like the fact that the story line was identical to the cartoon classic.  I incorrectly assumed it would be slightly different like the Aladdin live action remake was.  The slight differences in Aladdin were enough to keep me interested throughout.",False
Sheryl,True,2019-08-17,5.0,Fantastic job on animation of the characters,False
Langston,True,2019-08-17,4.0,"I liked how they remade and kept original scenes from the cartoon animated film. It truly made you get some nostalgic feelings from watching that opening. I think some of the voice acting was off and the casting couldve been a bit better for at least two characters, but thats most likely just my bias towards the original cinematic film. I also realized they did this for the live action purpose, but I disliked the removal of some iconic scenes and actions from specific characters. Some parts from the 1st movie really added depth to characters and helped the audience really laugh or feel the intensity of a characters thoughts, ideas, plans. Again I know they removed a chunk of these things for live action purposes to fit in with realistic actions, but its hard not to mention either. All in all it was a good reminder of how original The Lion King was back in the day and shows us things that couldve been done differently in some aspects.",False
Ally B,False,2019-08-17,2.0,"Surprisingly, I didn't hate this movie as much as I thought I would. I liked some of the changes and to be honest, Timon and Puumba stole the show. They got a few laughs out of me and I was excited whenever they were on screen.

But unfortunately there's some not so great things with this movie. A lot of the voice acting felt like I was watching a community theatre play, which is sad because I really like a lot of the voice actors in this movie. While the animation is great and looks realistic, I think it takes away from the performance because the animals aren't allowed to show much emotion. The story in this one felt very rushed and they added some pretty pointless scenes. It feels very lacking and doesn't have near as much heart as the original.",False
Kriss K,False,2019-08-17,3.5,I enjoyed this film very much. The CGI in this film is incredible and it does a good job at adapting a classic. There are some things that make the animated film better but you really can't compare an animated film to a CGI one especially CGI done to look real. This is not easy to achieve folks where as animators draw these(CGI) effects take months if not years to create a realistic image,False
Janelle H,True,2019-08-17,4.0,I thought it was good just not better than the original. Still fun for the family.,False
Mercy,True,2019-08-17,5.0,Loved the whole movie! Amazing,False
Alex,True,2019-08-17,5.0,Just like the original,False
Lisa,True,2019-08-17,4.0,Wonderfully done. Kept mostly to the original. Some changes not so great but overall a fantastic film.,False
Joshua C,False,2019-08-17,3.0,"The visuals of the film are out of this world, but for a person who watched the original several times, it is another Disney disaster. ",False
Griffin Z,False,2019-08-17,2.5,"Though beautifully shot, and visually impeccable, this remake takes the viewer through a long, and very familiar, trip. ",False
David,True,2019-08-17,5.0,"Loved it—the live action (or what looks like ‘life action’) is better than the original cartoon. The scenes,  the scenery in which the the animals interact, were superb and added an extremely interesting aspect to the movie that the cartoon could never match.",False
Skylar W,False,2019-08-17,3.0,"I mean, it appeals to the the target audience just fine. My family liked it, but anyone who looks at it more critically can see how this is the most generic of the Disney remakes. From what my idiot baby brain could tell, this movie was a near shot by shot remake of the original and anything they decided they didnt want to rip directly, was useless. Would be okay for the nostalgic consumer, but i can see why critics hate it.",False
Dimitrie M,False,2019-08-17,5.0,I loved The Lion King. I have NEVER seen the original. And since of the hype and popularity of the original. I needed to see it.,False
Cristina,True,2019-08-17,5.0,The CGI was great! True to the original and the new humor was on point. Laughed and cried and danced with my feet to all the songs...and i’m 39...no shame! Disney for life!,False
Kevin R,True,2019-08-17,4.0,"This movie is tough to rate, it is technically brilliant, but seems to fail at capturing the spirit of the animated version. Seeing photorealistic animals talking is a little disturbing. Also animal faces don't show human like  emotion. The animals look as if they were photographed on the plains , they are brilliant. But they can't visually express emotions. Also the comic bits were curtailed, songs eliminated, others added. Maybe it shouldn't be compared to the animated  version",False
Madelaine,True,2019-08-17,2.0,It was just meh. Not near as good as the original. No emotion on the cgi animal faces.,False
,False,2019-08-17,4.5,"Speaking as someone who considers The Lion King his favorite movie of all time - The live action/CG adaption is a solid joy. If you like the original, it’s definitely worth a watch. I will definitely watch it many more times in my lifetime.",False
Jennifer O,True,2019-08-17,5.0,So good!! Loved it ❤️,False
DP,True,2019-08-17,4.0,"Really liked the realistic feel to it, it could have had a bit more emotion in the facial expressions but overall it was good.",False
Nancy L,True,2019-08-17,4.0,"Lovely touching story, however far more dramatic than the animated version. Scenes were far more tense and realistic.",False
Diego P,False,2019-08-17,2.5,"Okay. The movie was just okay. In the heat of Disney's phase of making all these live-action remakes, I found this to be very subpar. The original is infinitely better in practically every way. This kind of movie wasn't necessarily made to be in live-action. In fact, I'd say most of these Disney remakes were never meant for live-action. They were meant to be animated family fun for everyone. Anyways, this movie is definitely visually impressive, that's the movie at its strongest. However, it fails to recapture the spirit in the original in nearly every way. Just watch the original.",False
MYCHAL,True,2019-08-17,5.0,The movie was a spitting image of the original animated film with a few new surprises. The music was awesome and the visual effects we're excellent. All in all a fine Disney movie.,False
Ken H,False,2019-08-17,3.0,"B- at best. The artwork was amazing, animation and vfx superb but most the cast fell short on the acting side, and the musical aspects as a result of their voices and interactions fell short. ",False
P Guy,True,2019-08-17,4.0,great cinematography. witty. true to original,False
John,True,2019-08-17,2.0,"Great cinematography, but the Live Action, removes the emotional connection the animation makes.",False
Lauren B,False,2019-08-17,3.0,"It was ok, just really lacking something I could not put my finger on it. It was also really scary for my 5 year old! It got better once he was with Timon and Pumba, but everyone else was pretty blah",False
DENNIS D,True,2019-08-17,4.0,The cinematography was excellent,False
Louis,True,2019-08-17,5.0,The animation was awesome!,False
Jeanne,True,2019-08-17,5.0,This movie got better and better as it went along! Story line is the same as original but it is made with realistic animals and is so funny once the warthog and meerkat come into the scenes! Truly a must see!,False
,False,2019-08-17,1.5,"This movie was a huge disappointment. The visuals were great, yes. The CGI and the animals were great, yes. But the script was just copied from the original and read with zero emotion. I felt like a was watching a high school speech class recite the script. The couple new songs added nothing either. This was clearly just Disney looking for another cash payout from their original. Don't waste your time or your money.",False
Tine N,True,2019-08-17,3.0,I prefer the normal animated lion king movie. this was a little odd and not as enjoyable!,False
ronda meduna,True,2019-08-17,5.0,Grandchildren loved this movie,False
Diana,False,2019-08-17,5.0,Loved the fact that the animals looked so real,False
Loretta S,True,2019-08-17,5.0,Fantastic movie 🎥 🍿,False
Denis V,False,2019-08-17,5.0,I loved it seen it 4 times would recommend it to everyone who asks me ,False
Anonymous,True,2019-08-17,5.0,Great cinematic experience!',False
Meg B,True,2019-08-17,5.0,I have always loved this story but the animation really made this come to life. I got shivers down my spine when the lions roared and especially during the right with the hyenias.,False
Lauren H,True,2019-08-16,3.0,Good. Not great. It was like watching one of those Disney Planet Earth documentaries but the animals talk and sing. Pretty much the same story as the original with some dialogue changes. I forgot how scary that movie can be for kids. I enjoyed it but didn’t love it. And i love Disney!,False
Chas M,True,2019-08-16,2.5,"The animation is amazingly realistic.  
But there are some discontinuities in the storyline that are too glossed-over.",False
Susan,True,2019-08-16,5.0,It was good.  I saw the original Cartoon when it came out and now this.  I prefer this new version and James Earl Jones is the best!,False
Steffy Gurl,False,2019-08-16,5.0,"I grew up with the original this version brought back great memories. I had tears in my eyes the majority of the movie, it brought back so many sweet memories.",False
Andrew S,True,2019-08-16,5.0,Absolutely wonderful live action remake. Haters can suck a dick,True
james,True,2019-08-16,1.0,Terrible job at emoting. Even the great cast couldn’t save this dumpster fire,False
louise m,True,2019-08-17,5.0,I really enjoyed it. the animation was great,False
,False,2019-08-16,2.5,I feel like it was missing heart. It was mostly hype and nostalgia that kept me watching it hopes it would get better. ,False
Stacey H,True,2019-08-16,3.0,"ehh, it was like watching animal planet with the cartoon playing in the background. They missed some favorite parts. It def wasn't horrible but I could have waited to see it at home.",False
Zabida,True,2019-08-16,5.0,It’s was opening my knowledge of nature!,False
,False,2019-08-16,4.5,Awesome cute; feel good movie. Fantastic animations leaving you wondering how did they do that!?! Worth seeing just for the visual!,False
GinaLBN,True,2019-08-16,5.0,Amazing realism. Missed the coconuts song.,False
Kevin M,True,2019-08-16,5.0,Awesome movie!! Looks like real animals.,False
Matthew,True,2019-08-16,4.0,Pretty much the animated original word for word in CGI. Well done though.,False
sunny day,True,2019-08-16,0.5,A lifeless rendition.,False
Jeannine,True,2019-08-16,5.0,was nice to watch a older movie going from a cartoon version to realistic version. Done very well,False
Sarah,True,2019-08-16,4.5,"visually stunning. mild dialogue changes that I felt took away from the movie SLIGHTLY. Other added bits that enhanced it- overall, as a Lion King nerd, LOVED IT.",False
jack,True,2019-08-16,4.0,story line was fairly simplistic and presentation was was good but  better for younger kids.,False
jesse,True,2019-08-16,4.0,small changes to great movie,False
SJ,True,2019-08-16,2.0,it was too much like the original but missing the funniest parts.,False
Faye,True,2019-08-16,4.0,Same story line as the animated version. A few surprises to change it up would have been good. Otherwise a great movie.,False
Line B,True,2019-08-16,5.0,"Watching it in 3 D made every thing look real. Disney rendered the animals face expressions and body muscle mouvements in a quite perfect fashion.
I was on those  African plains and I had the chance to observe those beautiful animals and the landscape, This second Lion King movie is realistic enough to take me back to Africa.
Extremely well done.",False
reneznelson,True,2019-08-16,5.0,So real.  Best animation ever!!  Great story to.,False
Twiana,True,2019-08-16,4.0,It was an AWESOME second time around. lion King nerver gets old. loved It!,False
Plover,False,2019-08-16,5.0,Beautiful! Amazing! Full of light and sensual feeling. If you live with cats and know how to read their expressions you will see the magic in this! Big fan of the original and have seen this three times. Stunning accomplishment!,False
Emily L,True,2019-08-16,3.5,A fun time if you don't take it too seriously. Reminiscent and humorous,False
Chalisa B,False,2019-08-16,2.0,"I have to agree with movie critics on this one. The movie was soulless, expressionless, and unnecessary. I think the cgi is very impressive, but so many parts has been dropped down from the original - especially the personality of characters.  Some new scene like the journey of Simba's fur is totally ridiculous. ",False
Amra C,False,2019-08-16,0.5,"terrible movie.  Beyoncé's voice was flat, no emotion.  they ruined my favorite song, Can you feel the love tonight?  Beyoncé over did it.  It was dark.  It was missing heart and light.  I wish I never saw it.  Lion King is one of my all time favorite Disney  movies and they ruined the remake.  terrible.",False
janet C,True,2019-08-16,5.0,Very well done. Liked that stayed to the original Lion King.,False
Robert P,False,2019-08-16,0.5,Destroyed the concept,False
Sinai V,False,2019-08-16,0.5,"This would've been a great movie, but it failed in so many ways. The movie tries to bring nostalgia for older audiences who watched the animated one. The visuals are beautiful, but since the movie is pretty bad. It just drops it. It doesn't have the wonders like the animated movie. It's like a poor cheap vision of the original movie.",False
DonkeyPunch G,False,2019-08-16,2.0,"It's a Disney remake, let's be honest it takes the fun out of it when they don't change the story up much at all. Don't get me wrong Timon and pumbaa, did fantastic, there's certain lines they changed up for those two characters that I liked and other lines they didn't. My wife enjoyed it but then again she's a big kid. Overall I rate 2 stars when I know that I would have fell asleep if it hadnt been for my wife.",False
Donna M,True,2019-08-16,3.5,I liked the movie but it wasnt as good as the first one. What I liked was the real looking animals and the songs were clearer. Easier to understand the words. But it lacked something that the first one had. The song Circle of Life didnt have the punch it had in the first one. Ill see it again but will wait till its out in dvd or on demand.,False
Ray-Ray C,False,2019-08-16,3.0,Just fell flat in certain parts. Great effects. Just didn't have the same enthusiasm as the cartoon. ,False
Jim R,True,2019-08-16,5.0,"Went to see 1st Lion King movie when it came out and waited in a long line. Although it was great at the time, this was much better and seeing it on an IMAX screen just made it even better.",False
Harold Watson,True,2019-08-16,2.5,Wasn’t really impressed at all. I was expecting more.,False
Shelly,True,2019-08-16,5.0,Loved it! First time seeing Lion King and the animation is fabulous!,False
Jeffrey M,True,2019-08-16,0.5,"An failed remake of a timeless classic. Either do something new or be true to the source, this suffered because the filmmakers didn't know which road to take.",False
Sahib K,False,2019-08-16,2.5,hindi dubbing is very bad,False
Colleen,True,2019-08-16,5.0,Fantastic! Better than the original.,False
redjayphotography99gmailc,True,2019-08-16,5.0,Such a great film! Brought back so many childhood memories.,False
Denise,True,2019-08-16,5.0,My 8  year old and 4 year old granddaughters loved the movie.  It was quite beautiful.,False
Jenna S,False,2019-08-16,2.0,"Disney live action remakes irk me to no end. They feel unoriginal and like cash grabs. Often times they seek to fix a ""problem"" that was present in the original. The movie felt uninspired and lacked the charm of the original that only animation can provide. The lions were unexpressive and more emphasis was put on making it seem realistic than making a compelling movie. ",False
lionkinglover69,True,2019-08-16,4.0,timon and pumba were not that funny. they made me sad.,False
Manan K,False,2019-08-16,2.0,It was ok the Previously made animated movie was better,False
Stacey W,True,2019-08-16,5.0,Simply incredible.  Must see.,False
Robin,True,2019-08-16,3.0,Beginning was slow but the graphics are wonderful.,False
Deborah,True,2019-08-16,5.0,Beautiful combo of  photos and Disney magic. Beautiful story too.,False
Okay.,True,2019-08-16,4.0,"It was good in general, definitely enjoyed Seth Rogen as Pumba.",False
Judy K,True,2019-08-16,3.0,Although rated PG I found some of the animal fight scenes scary for 5 and under.  The movie was beautifully crafted from an artistic sense but the singing and dancing that were so charming in the original fell flat.  I would go back to the original next time.,False
Dolores,True,2019-08-16,5.0,I loved Lion King! I’m going to go see it again and take my grandson.❤️,False
Aleyah,True,2019-08-16,4.0,A twist to the original. Excellent for the new generation of children watchjng,False
Audrey F,False,2019-08-16,5.0,"My teenage son and I went to see it today and we both thought it was amazing. He wasn't even close to being born when the original came out, but of course he's seen it dozens of times. Now he's a gamer and video maker/editor. He warned me as we were walking in that he might be overly critical but we had both agreed we needed to see it in the theaters before it was gone. Even though we both knew the storyline backwards and forwards we were totally sucked in from beginning to end. There were times that I personally felt anxious, like I didn't know what was going to happen. I'm glad we didn't bring his little sister (7 years-old, but very sensitive) as she would have been scared during several parts. My son and I had both heard not-so-great reviews, so we were on the lookout for negatives but neither of us walked away with any negatives to talk about. The animals and scenery were amazing, the action scenes were engaging, the original humor was there with some added bits. Definitely worth seeing on the big screen.",False
Raymond,True,2019-08-16,2.0,It was like watching National Geographic and then a lion starts singing out of nowhere. It was too realistic looking too keep the same animation and outlandish storyline. Amazing CGI but they should have changed the storyline a bit if they wanted it that realistic. In my opinion of course.,False
Redladibug,True,2019-08-16,5.0,I just thought it was the cutest movie and the animals look so real.,False
Nick C,False,2019-08-16,4.0,Stays very faithful to the original. Personally I thought the realism was pretty cool,False
Shaneka,True,2019-08-16,5.0,The movie was wonderful,False
Joyce,False,2019-08-16,5.0,The whole movie was great. The effects and animation was unbelievable. The animals looked like live animals.,False
Renan P,False,2019-08-16,3.5,The Lion king is good but it doesn't have much hilarious parts in it and a little more boring parts than Toy story 4 so 3 and a half stars,False
Kgarz01,True,2019-08-16,4.0,Forgot to put in Pumba's 'They call me Mr. Pig' line.,False
Fabiola B,False,2019-08-16,4.0,Very cute and realistic cgi,False
WEEZEE,True,2019-08-16,2.5,"I THOUGHT IT WAS A BIT LONG AND A BIT TOO SLOW.  THE CINEMATOGRAPHY WAS GREAT BUT IT WAS MISSING MORE DIALOGUE
AND MUSIC.",False
no,True,2019-08-16,5.0,So good. Surprisingly good.,False
Me,True,2019-08-16,3.5,Followed the story well.  Would of likes Ed to be different and Rafiky was not as prominent.,False
Diane M,True,2019-08-16,5.0,Loved every bit of it.  Saw the original.  Came home and preordered a copy of this one!,False
Francisco  V,True,2019-08-16,5.0,"Very good movie, 10/10.",False
,False,2019-08-16,2.0,I'm done with Disney live adaptation they all suck,False
Suzanne  H,True,2019-08-15,5.0,I loved it. This is the first movie digitized movie I’ve ever seen.,False
Sophia G,False,2019-08-15,1.0,"Bland, colorless, and lacked character. The songs were so devoid of the original sass and personality from the original and visually, all the lions looked the same and expressionless. All the gorgeous colors and scenes from the original were desaturated and the life was sucked from them. The VAs have amazing voices but it felt like listening to a music video rather than a kid lion singing. I'd recommend the original or the musical, not this one. Regret buying a ticket",False
Judith K,True,2019-08-15,5.0,cineamatography fantastic = miss Elton - and some other voices.,False
Vel M,True,2019-08-15,4.0,"Liked: animals seemed real and not automated so made story seem more real. 

Disliked: Guess since I already knew the story there was no anticipation.",False
SHAWNA,True,2019-08-15,4.0,My family and I enjoyed it as much as the first,False
Jaime  L,False,2019-08-15,3.5,"Its a perfectly serviceable remake even if as usual watching the animated original is the best bet one can make.  If you got kids you want to introduce Disney films to, the classics are still where to go to.  I will say that this is a better outing than most of what we've gotten so far, mostly because the movie is so alike to the original.  I think the best improvement though is the hyenas are given more of a menacing role than the joke that they were in the original.  On the minus column I think the CGI of the lions faces was subpar, really didn't feel any emotion there.  Zazu as well... hard to watch the way that bird was made, a bit freaky. ",False
Anna,True,2019-08-15,5.0,i really enjoyed the film. i have no complaints.,False
Sandra,True,2019-08-15,4.5,Loved how real life the animals looked!,False
M H,False,2019-08-15,1.0,Not good.  Good CGI. Rest was crap.   ,True
Kayla,True,2019-08-15,1.0,"Terrible movie! The actors were miscast did not connect with the audience. A real disappointment, the original was so good.",False
Mark,True,2019-08-15,3.5,I liked the original better,False
Mary,True,2019-08-15,5.0,Very entertaining movie!  Love the music AND Simba!!!,False
